function,ME_1,ME_2,ME_3,ME_4,ME_5,ME_6,DL_4,DL_5,DL_6,DL_1,DL_2,DL_3,FX_1,FX_2,FX_3,FX_4,FX_5,FX_6,HDT_1,HDT_2,HDT_3,HDT_4,HDT_5,HDT_6,MX_1,MX_2,MX_3,MX_4,MX_5,MX_6,GG_1,GG_2,GG_3,GG_4,GG_5,GG_6,ML_1,ML_2,ML_3,ML_4,ML_5,ML_6,AL_1,AL_2,AL_3,AL_4,AL_5,AL_6,XSBN_1,XSBN_2,XSBN_3,XSBN_4,XSBN_5,XSBN_6,JFL_1,JFL_2,JFL_3,JFL_4,JFL_5,JFL_6,NJ1,NJ2,NJ3
K03088,205391.23,210402.63,214591.44,215853.34,218824.85,217587.95,218531.9,224048.91,221548.3,218348.4,222585.19,217269.57,204662.3,205513.1,202509.75,191378.3,199060.15,208931.45,196906.89,199872.24,209857.7,208350.26,208641.75,208072.29,153466.8,207953.82,210990.24,205245.36,204914.29,188637.88,207447.4,210432.99,210481.66,212832.18,210436.04,210894.19,208012.47,211351.53,206378.12,211213.48,210963.92,211090.05,221525.17,218002.85,215976.18,213412.7,215892.34,213412.44,210966.46,211543.69,203529.2,214536.89,211794.64,212542.12,206128.33,210298.27,202266.35,207496.52,212027.09,216393.32,206849.85,216402.21,224384.35
K01990,189455.99,197898,190878.24,192683.04,185637.82,191963.43,192606.31,193511.01,191142.08,193586.81,193458.17,190657.04,178053.33,183259.81,188942.59,180003.59,185579.55,188776.77,192548.93,188922.45,171845.06,175432.2,170170.63,171650.96,149215.68,175671.68,172656.95,167281.53,170759.12,161440.62,198834.81,194725.15,192676.65,195768,199997.94,193536.12,193095.39,196441.28,188358.6,186520.99,189587.25,189136.33,177758.97,177276.9,180679.52,183620.82,180616.92,188789.82,166787.77,164983.83,164186.93,167652.5,166215.55,164420.63,198349.74,193056.64,190103.14,193209.1,193674.22,191471.08,204883.48,223323.33,231336.75
K01992,167482.92,171951.54,163652.19,162733.14,158659.9,164928.29,165838.32,168383.9,166878.69,170866.72,167842.93,166576.61,150694.46,153331.26,157295.26,152630.5,155703.47,155166.09,167264.92,163635.62,155678.14,154750.73,149424.97,151362.25,134135.75,162617.27,161530.39,154440.39,148497.38,146374.26,174096.68,168411.41,167428.29,172444.55,177650.38,171301.58,175319.01,177432.76,167108.78,165481.72,167666.49,166252.24,163466.2,160760.33,169309.27,169682.09,165389.94,176156.08,161100.34,153275.43,144063.74,151371.98,151229.48,149830.06,171772.11,163851.39,162616.1,165093.07,164797.37,165512.05,185265.44,205485.34,209681.14
K00059,155968.25,150031.37,142376.17,133623.36,142454.92,141414.14,150914.31,155300.16,153718.77,159457.38,150172.24,155253.6,131013.7,129586.45,129034.49,132813.15,128381.71,126190.06,140796.92,139455.08,165469.59,152467.33,146960.87,150760.18,134811.32,178322.46,177667.27,169258.19,165011.35,164125.29,145788.26,142400.13,141876.42,145992.37,151206.63,148268.78,158026.66,156452.73,146909.55,148147.97,147037.29,146415.51,171239.15,164127.65,175339.11,173219.48,170463.17,178925.45,184309.88,175522.83,156711.28,173718.5,171855.35,172724.37,152402.72,142811.09,145277.82,146183.27,146438.55,150682.68,144673.25,157752.64,154990.46
K02004,98693.72,100978.36,106987.07,111848.1,111477.07,107771.79,111776.81,113182.43,111978.65,108313.86,115033.11,107359.61,111714.39,112742.4,110773.26,102517.19,110606.91,118511.68,111132.25,113165.83,121795.19,117584.16,115914.6,116335.53,78418.64,132735.6,139198.31,131654.17,132395.42,118484.11,113084.28,116372.83,114423.01,113683.79,113379.03,108196.96,103603.23,106099.24,111072.4,115411.97,114256.44,113612.33,121201.53,115810.48,111291.01,114780.55,118076.47,115822.21,117313.83,130273.07,132770.33,141482.72,136333.17,136914.75,110672.9,119431.91,109962.28,112598.57,117893.88,116282.59,112948.41,111015.73,113524.25
K06147,110984.2,109290.87,100701.51,97334.16,97981.35,102432.84,102242.82,105508.85,105337.51,110496.47,103896.99,105986.87,94419.17,93282.12,94853.93,98871,98053.37,92461.97,113561,109633.97,112733.74,106104.12,99142.44,102913.5,74714.86,116183.52,117471.73,109664.69,100434.35,99622,119692.12,112886.57,113001.45,112304.72,125446.57,119330.66,131892.34,131241.52,113052.94,112851.85,115397.57,113746.28,111944.95,109028.51,119342.98,117810.83,113936.41,118397.22,115412.76,105306.34,92321.62,101279.69,100933.24,100308.44,113486.87,105124.85,104700,106593.92,103500.79,108592.92,120800.61,131181.61,133227.05
K02003,89396.44,92979.36,95003.14,97752.66,95453.43,96691.7,99831.98,100011.03,99245.1,100040.82,101287.24,98023.98,94166.54,96070.28,97599.65,92813.9,97078.87,99540.23,100683.68,100071.07,103077.36,99337.05,98446.81,98532.37,86338.14,123588.73,123569.22,114738.29,113321.58,111847.61,104870.97,102578.23,101512.76,104576.62,106520.25,100075.69,99029.09,100479.08,100309.19,102028.67,102043.06,101110.46,111205.61,104695.16,105635.37,116493.83,112258.16,129371.09,104262.36,107592.95,106072.18,112736.51,110428.4,109064.77,103200.3,103858.58,101882.77,102546.33,103593.89,102885.94,113693.68,123996.13,128131.31
K02035,109701.9,107027.66,90636.82,80673.25,86627.81,90569.38,100841.57,106242.95,105554.38,113299.27,101089.4,107242.34,89121.29,87453.79,89867.5,97313.04,91248.21,83375.59,115507.85,108549.19,112765.94,101827.25,87696.25,94511.65,104946.85,121084.55,116943.36,110756.91,96293.79,108787.57,105708.82,101957,100252.85,105589.04,114926.77,104875.67,103838.64,101599.43,94959.74,92566.65,92119.74,93132.38,115873.59,115392.11,130649.67,122914.42,120116.77,123853.43,128331.04,110925.85,88259.08,103035.79,102609.56,103585.61,98234.39,82992.28,87561.94,88088.52,86355.11,87440.25,118565.26,140983.76,133968.38
K02033,92874.9,91670.68,80827,73347.97,78474.46,81711.49,89479.87,93965.69,93908.17,100126.44,90575.26,95256.35,80595.43,79855.3,81987.49,87174.17,84092.33,77888.72,99955.52,95068.37,103391,91749.49,80498.31,85671.45,81693.3,106635.78,102112.06,95800.56,84811.65,90659.11,94481.06,90932.35,90048.61,93134.65,101988.85,93476.23,93620.97,91129.74,83583.28,82543.32,82602.62,84289.93,107104.68,103796.95,115832.8,111741.27,108541.43,113996.74,113299.27,96635.79,77068.76,91580.61,90160.93,90549.08,85626.76,73975.38,78369.75,78326.39,76354.76,78787.22,102557.38,120825.77,115209.98
K02034,95451.42,95036.18,83304.81,75789.44,80082.9,83764.72,90286.68,94783.99,94537.16,100866.57,91522.65,96345.29,82840.94,82430.92,84861.32,90091.11,86556.09,80326.02,103987.06,98310.03,102614.83,92260.64,81047.46,86349.53,79985.99,101199.66,98068.39,92456.21,82629.29,85174.75,96637.81,93237.54,92166.33,94213.95,104253.27,95130.09,95338.79,93567.03,85972.1,84244.17,84311.66,85800.96,104905.11,103480.16,115451.98,109324.23,107223,106599.79,106903.03,91734.23,73509.11,86340.48,85151.26,85852.43,87867.87,75931.98,79763.48,80321.97,78388.51,80578.01,97183.2,112816.75,107788.32
