Original name,New name,Description,,Original name,New name
1,ME_1,ME,,1,ME
10,DL_4,DL,,2,DL
11,DL_5,DL,,3,FX
12,DL_6,DL,,4,HDT
13,FX_1,FX,,5,MX
14,FX_2,FX,,6,GG
15,FX_3,FX,,7,ML
16,FX_4,FX,,8,AL
17,FX_5,FX,,9,XSBN
18,FX_6,FX,,10,JFL
19,HDT_1,HDT,,11,Antarctica
2,ME_2,ME,,,
20,HDT_2,HDT,,,
21,HDT_3,HDT,,,
22,HDT_4,HDT,,,
23,HDT_5,HDT,,,
24,HDT_6,HDT,,,
25,MX_1,MX,,,
26,MX_2,MX,,,
27,MX_3,MX,,,
28,MX_4,MX,,,
29,MX_5,MX,,,
3,ME_3,ME,,,
30,MX_6,MX,,,
31,GG_1,GG,,,
32,GG_2,GG,,,
33,GG_3,GG,,,
34,GG_4,GG,,,
35,GG_5,GG,,,
36,GG_6,GG,,,
37,AL_1,AL,,,
38,AL_2,AL,,,
39,AL_3,AL,,,
4,ME_4,AL,,,
40,AL_4,AL,,,
41,AL_5,AL,,,
42,AL_6,AL,,,
43,XSBN_1,XSBN,,,
44,XSBN_2,XSBN,,,
45,XSBN_3,XSBN,,,
46,XSBN_4,XSBN,,,
47,XSBN_5,XSBN,,,
48,XSBN_6,XSBN,,,
49,ML_1,ML,,,
5,ME_5,ME,,,
50,ML_2,ML,,,
51,ML_3,ML,,,
52,ML_4,ML,,,
53,ML_5,ML,,,
54,ML_6,ML,,,
55,JFL_1,JFL,,,
56,JFL_2,JFL,,,
57,JFL_3,JFL,,,
58,JFL_4,JFL,,,
59,JFL_5,JFL,,,
6,ME_6,ME,,,
60,JFL_6,JFL,,,
7,DL_1,DL,,,
8,DL_2,DL,,,
9,DL_3,DL,,,
ZTPSN22DD042_NJT1,NJ1,NJ,,,
ZTPSN22DD043_NJT2,NJ2,NJ,,,
ZTPSN22DD044_NJT3,NJ3,NJ,,,
