sample	number	New name	Description
1	1.691618601	ME_1	ME
3	1.5378682	ME_3	ME
2	1.561348509	ME_2	ME
5	1.532836727	ME_5	ME
4	1.488252711	ME_4	ME
6	1.548087228	ME_6	ME
7	1.750025196	DL_1	DL
9	1.691365898	DL_3	DL
8	1.694577609	DL_2	DL
11	1.697006832	DL_5	DL
10	1.617233124	DL_4	DL
12	1.664975338	DL_6	DL
22	1.780439983	HDT_4	HDT
19	2.087863488	HDT_1	HDT
24	1.700505437	HDT_6	HDT
20	1.974581902	HDT_2	HDT
21	1.85401235	HDT_3	HDT
23	1.701443709	HDT_5	HDT
56	2.103453207	JFL_2	JFL
60	2.202985646	JFL_6	JFL
58	2.088414084	JFL_4	JFL
59	2.028451133	JFL_5	JFL
57	2.019112702	JFL_3	JFL
55	2.184405405	JFL_1	JFL
15	1.639295915	FX_3	FX
13	1.654210173	FX_1	FX
14	1.597216635	FX_2	FX
17	1.692015197	FX_5	FX
16	1.732198011	FX_4	FX
18	1.571585375	FX_6	FX
54	2.255633576	ML_6	ML
53	2.283384275	ML_5	ML
49	2.881360805	ML_1	ML
51	2.146630111	ML_3	ML
50	2.949232778	ML_2	ML
52	2.190151286	ML_4	ML
42	1.821198664	AL_6	AL
40	1.906744416	AL_4	AL
41	1.787283786	AL_5	AL
39	1.76077401	AL_3	AL
38	1.724533368	AL_2	AL
37	1.725313479	AL_1	AL
36	2.338718592	GG_6	GG
34	2.01756913	GG_4	GG
33	2.220309802	GG_3	GG
32	2.152570127	GG_2	GG
35	2.460510336	GG_5	GG
31	2.373904122	GG_1	GG
48	1.846375356	XSBN_6	XSBN
46	1.770456118	XSBN_4	XSBN
44	1.973463764	XSBN_2	XSBN
45	1.919025802	XSBN_3	XSBN
43	1.943129842	XSBN_1	XSBN
47	1.872553051	XSBN_5	XSBN
ZTPSN22DD043_NJT2	2.092389257	NJ_2	NJ
ZTPSN22DD042_NJT1	1.999106619	NJ_1	NJ
ZTPSN22DD044_NJT3	2.194093459	NJ_3	NJ
25	2.531013397	MX_1	MX
26	1.882981972	MX_2	MX
27	1.843016185	MX_3	MX
28	1.955648768	MX_4	MX
29	1.867890524	MX_5	MX
30	2.168631659	MX_6	MX
